stacking,disregistry,d,energy,energy_err,method
AB,0.0,3.0,-9.020840496494202,0.32840858961749997,QMC
AB,0.0,3.2,-19.42884224615409,0.27766899149200003,QMC
AB,0.0,3.35,-22.75096586154541,0.2642673144253,QMC
AB,0.0,3.5,-23.40411067547393,0.2820402544531,QMC
AB,0.0,3.65,-21.635535967478063,0.37390399658490003,QMC
AB,0.0,3.8,-19.39265277722734,0.23016355784429998,QMC
AB,0.0,4.0,-17.197632500057807,0.27804048347070004,QMC
AB,0.0,4.5,-10.632004635088379,0.2557938474963,QMC
AB,0.0,5.0,-6.781566036253935,0.2352767101463,QMC
AB,0.0,6.0,-3.9655122245603707,0.2174740754617,QMC
AB,0.0,7.0,-3.047697346948553,0.2212227707233,QMC
SP,0.16667,3.0,-5.820397183182649,0.1449699432391,QMC
SP,0.16667,3.2,-18.59106078298646,0.1745750961273,QMC
SP,0.16667,3.35,-21.90850263737957,0.1467577380971,QMC
SP,0.16667,3.5,-22.890871866053203,0.16366168398390002,QMC
SP,0.16667,3.65,-21.841614464326994,0.19361766089319998,QMC
SP,0.16667,3.8,-19.61938953254139,0.2624834992686,QMC
SP,0.16667,4.0,-16.699446755548706,0.1524851598764,QMC
SP,0.16667,4.5,-10.60661966522457,0.19675091359330002,QMC
SP,0.16667,5.0,-6.425623611867195,0.18119208528810002,QMC
SP,0.16667,6.0,-3.671226375445258,0.1709368566696,QMC
SP,0.16667,7.0,-2.6018220949626993,0.15226179678319998,QMC
Mid,0.5,3.0,2.380626538506476,0.2839309666854,QMC
Mid,0.5,3.2,-13.584622157126432,0.2119590097386,QMC
Mid,0.5,3.35,-18.540961170889204,0.2741314913113,QMC
Mid,0.5,3.5,-20.289479009778006,0.2712241272906,QMC
Mid,0.5,3.65,-20.631627947994275,0.27408868246269996,QMC
Mid,0.5,3.8,-19.011268946167547,0.216771877163,QMC
Mid,0.5,4.0,-16.60787034741952,0.2292337966626,QMC
Mid,0.5,4.5,-10.357151806878392,0.2388315661657,QMC
Mid,0.5,5.0,-6.708269546390511,0.33187456505880003,QMC
Mid,0.5,6.0,-3.7266205990163144,0.20563647212970002,QMC
Mid,0.5,7.0,-2.888005411834456,0.2147588216028,QMC
AA,0.66667,3.0,19.202228776121046,0.20291739523340002,QMC
AA,0.66667,3.2,-5.068615766504081,0.40647329311040004,QMC
AA,0.66667,3.35,-14.042582887836033,0.2437113138212,QMC
AA,0.66667,3.5,-17.633869278564816,0.2878172604445,QMC
AA,0.66667,3.65,-18.854223882808583,0.3042091211104,QMC
AA,0.66667,3.8,-17.704560286714695,0.2249770584902,QMC
AA,0.66667,4.0,-15.972836986387847,0.37086559148000003,QMC
AA,0.66667,4.5,-10.730367333482718,0.2508774695371,QMC
AA,0.66667,5.0,-6.563697144098114,0.2775729330302,QMC
AA,0.66667,6.0,-3.902210049011046,0.2369961091182,QMC
AA,0.66667,7.0,-2.3826921907893848,0.31879963305500003,QMC
