method,stacking,d_eq,gsfe,be
KC-QMC,AB,3.428177918874966,0.0,21.96650512444404
KC-QMC,SP,3.457837646241412,0.7832064398544958,21.183298684589545
KC-QMC,Mid,3.535086566284839,2.4382471209372056,19.528258003506835
KC-QMC,AA,3.6469069260771034,4.554061762086235,17.412443362357806
KC-Ouyang,AB,3.3945264016344527,0.0,24.81877522435957
KC-Ouyang,SP,3.420028640915932,0.7129609810866668,24.105814243272903
KC-Ouyang,Mid,3.49880246125692,2.542474410611419,22.27630081374815
KC-Ouyang,AA,3.6107214332758133,4.8954114981251,19.92336372623447
KC-DFT-D2,AB,3.2614675468224226,0.0,23.98489946661033
KC-DFT-D2,SP,3.2942334328734435,1.0541542404069446,22.930745226203385
KC-DFT-D2,Mid,3.391581833644632,3.3335025082365632,20.651396958373766
KC-DFT-D2,AA,3.532962912204352,6.161874942797965,17.823024523812364
KC-DFT-D3,AB,3.541797696059501,0.0,19.514993382295074
KC-DFT-D3,SP,3.5667285085854146,0.49332509993126905,19.021668282363805
KC-DFT-D3,Mid,3.627044274759088,1.5609558160755341,17.95403756621954
KC-DFT-D3,AA,3.7226359504607482,3.151894624425381,16.363098757869693
