twist_angle,pot,elec_gap,flat_gap,hole_gap
0.84,qmc,13.14084609342467,45.68042923754058,12.004434652470309
0.84,ouyang,13.58457079713105,44.998065205236344,12.323247832510106
0.84,dft_d2,19.65175815695943,44.217715547860735,19.511331783148307
0.84,dft_d3,0.23572503325317484,48.93204584976672,2.4311170096751766
0.93,qmc,35.3151882265812,18.62664550054683,33.84312821337119
0.93,ouyang,35.73105744959844,18.075284373328145,34.146877458479025
0.93,dft_d2,42.80436660859095,16.937720930603746,42.35483350909885
0.93,dft_d3,25.715561247550568,17.743813965529057,22.98269025863374
0.99,qmc,48.63023717819112,6.293874155465005,43.36132360874126
0.99,ouyang,49.113826185027506,5.847827047428041,43.43030759288024
0.99,dft_d2,57.17325954364412,5.880411207219254,51.044273263474906
0.99,dft_d3,39.23832120851807,4.739973034640229,33.429044185760176
1.05,qmc,47.58894846928547,16.098244122124356,46.044191294450684
1.05,ouyang,47.2701982885452,16.90104715100324,45.617229646853275
1.05,dft_d2,53.875610215277334,18.97364983119644,53.258781926916186
1.05,dft_d3,37.56418823515105,16.35234569542729,34.8978915436943
1.08,qmc,45.716348601616346,26.35028949243599,44.033003760511065
1.08,ouyang,45.408640717139065,27.107806351319482,43.62302245102103
1.08,dft_d2,52.081995663993325,29.40388119449051,51.26329247343915
1.08,dft_d3,35.95592576482011,26.174616982695852,33.19134927203697
1.16,qmc,41.72353601816235,49.133642313761015,39.716842684413336
1.16,ouyang,41.40523802450957,49.93258759409298,39.32933058625383
1.16,dft_d2,48.126328874874616,52.533653442295645,46.947472867333204
1.16,dft_d3,32.45777363558739,48.24289435897583,29.538222355117227
